index,word,word_insert_time,pronouncation,meaning,meaning_insert_time
aa-aa,ああ言えばこう言う,2019/08/10 17:11:59,ああいえばこういう,何か言われたら必ず何かを言って返し、反論または回避するさま。素直に聞き入れないさま。,2019/08/10 17:12:14
aa-aa,ああ言えばこういう,2019/08/10 17:11:59,ああいえばこういう,何か言われたら必ず何かを言って返し、反論または回避するさま。素直に聞き入れないさま。,2019/08/10 17:16:57
aa-aa,ああいえばこういう,2019/08/10 17:11:59,ああいえばこういう,何か言われたら必ず何かを言って返し、反論または回避するさま。素直に聞き入れないさま。,2019/08/10 17:21:56
aa-aa,ああいった,2019/08/10 17:11:59,ああいった,「ああいう」「あのような」などに同じ。自分にも相手にも遠い物事のありようを指し示す表現。,2019/08/10 17:26:56
aa-aa,ああだこうだ,2019/08/10 17:11:59,ああだこうだ,しきりに何事か言っているさまを表す表現。似た言葉に「ああでもないこうでもない」がある。,2019/08/10 17:31:56
aa-aa,ああでもないこうでもない,2019/08/10 17:11:59,ああでもないこうでもない,何かを考える時に考えに迷って何度も考え直したり、または議論などを行う際に中々うまい結論が出ずに何度も話し直したりするさま、を形容するのに使われる表現。「ああでもないこうでもないと悩んだ末にこのような結論を出した」などという具合に使う。,2019/08/10 17:36:56
aa-aa,ああなる,2019/08/10 17:11:59,ああなる,指し示した対象が呈している様子や状況に近くなる、または全く同じ状況になるさまなどを意味する表現。第三者を「悪い例」として示し、相手を諭す場合などに用いる。,2019/08/10 17:38:15
aa-aa,アーチェリー場,2019/08/10 17:11:59,アーチェリーじょう,アーチェリー競技を行う設備がある施設のこと。アーチェリー競技を行うための施設。,2019/08/10 17:41:56
aa-aa,アーチェリーじょう,2019/08/10 17:11:59,アーチェリーじょう,アーチェリー競技を行う設備がある施設のこと。アーチェリー競技を行うための施設。,2019/08/10 17:46:57
aa-aa,アーティテクチャー,2019/08/10 17:11:59,アーティテクチャー,一般的に「アーキテクチャー」の誤記。「アーキテクチャー」は設計、構造、建築様式といった意味の語。,2019/08/10 17:51:56
aa-aa,アートアクアリウム,2019/08/10 17:11:59,アートアクアリウム,生き物を泳がせた水槽にさまざまな色の光を当てるなどして、芸術性を持たせた水族館のこと。,2019/08/10 17:56:57
aa-aa,アートフラワー,2019/08/10 17:11:59,アートフラワー,布を用いて丁寧に作り上げた造花。「アーティフィシャルフラワー」の略、または「アート」と「フラワー」を合わせた和製英語とも。,2019/08/10 18:01:56
aa-aa,あーね,2019/08/10 17:11:59,あーね,俗に「ああ、なるほどね」といった意味合いで用いられる若者言葉。納得などを示す適当なあいづちとして用いられる事が多い。「あーね」は年「女子中高生ケータイ流行語大賞」で第位に選ばれている。年女子中高生ケータイ流行語大賞でも引き続き位にランクインした。,2019/08/10 18:06:56
aa-aa,アーバンクライマー,2019/08/10 17:11:59,アーバンクライマー,建築物の外壁を、フリークライミングの手法を用いて登攀する「アーバンクライミング」を行う人物を意味する語。「アーバンクライミング」は、「ビルダリング」と呼ばれることもある。,2019/08/10 18:11:56
aa-aa,アーバンライフ,2019/08/10 17:11:59,アーバンライフ,「都会暮らし」「都会での生活」を意味する英語。「アーバン」は都市・都会などの意味の語。,2019/08/10 18:16:56
aa-aa,アープ,2019/08/10 17:11:59,エーアールピーピーユー・アープ,有料のオンラインサービスにおける、会員名あたりの月間支出額平均を意味する語。の計算では、無料サービスのみを利用しているユーザー（無課金ユーザー）は考慮されず、課金を行っているユーザーのみの支出額平均が算出される。は特に、ソーシャルゲームやオンラインゲームなど、無課金ユーザーと課金ユーザーが混在しているサービスの売上指標としてしばしば用いられる。,2019/08/10 18:21:56
aa-aa,アームカバー,2019/08/10 17:11:59,アームカバー,腕を覆うカバーを意味する語。一般的に手袋より長いものを指し、装着する目的は防寒や日焼け対策など様々である。,2019/08/10 18:26:56
aa-aa,アームズ・レングス・ルール,2019/08/10 17:11:59,アームズ・レングス・ルール,証券などの取引において、取引当事者が親密な関係であっても公平な取引を行わなければならないというルール。アームズ・レングス原則ともいう。,2019/08/10 18:31:56
aa-aa,アーモンドダイス,2019/08/10 17:11:59,アーモンドダイス,アーモンドを細かい粒に砕いたもの。お菓子のトッピングとして用いられる。食感と香ばしさを加えることができる。塩は加えない。更に細かく粉末にしたものをアーモンドパウダーという。,2019/08/10 18:36:56
aa-aa,アーモンドパウダー,2019/08/10 17:11:59,アーモンドパウダー,アーモンドを細かな粉末状にしたもの。お菓子の生地などに利用される。アーモンドの風味が加わり香ばしさが増す。アーモンドパウダー（）は英語であり、フランス語名のアマンドプードル（）という場合もある。,2019/08/10 18:41:56
aa-aa,アーモンドプードル,2019/08/10 17:11:59,アーモンドプードル,アーモンドの粉のこと。「アマンドプードル」とも呼ばれる。アーモンドプードルを使った代表的な洋菓子としてはマカロンなどがある。,2019/08/10 18:46:56
aa-aa,アーモンドホール,2019/08/10 17:11:59,アーモンドホール,アーモンドの粒そのままで、砕いたり挽いたりといった加工をしていないもの。英語で表記すれば「」。は「全体の」といった意味。香ばしさなどを特徴として、お菓子のトッピングなどに用いる。アーモンドは用途などによってアーモンドパウダーやアーモンドダイスなどにも加工される。,2019/08/10 18:51:56
aa-aa,アーリークロス,2019/08/10 17:11:59,アーリークロス,サッカーで、相手ディフェンスが自陣に戻り切らないうちに、そのディフェンスラインの裏を目標として、サイドから中央方向に上げられるパスを意味する語。アーリークロスには、フォワードと相手ゴールキーパーの対の状況を作りやすくするなどの効果があるとされる。,2019/08/10 18:56:56
aa-aa,アーリータックル,2019/08/10 17:11:59,アーリータックル,ラグビーで、相手の選手がボールを受け取る前にタックルをすること。反則のつ。,2019/08/10 19:01:56
aa-aa,アーリーリタイア,2019/08/10 17:11:59,そうきたいしょく,労働者が定年退職を待たずに、企業からの勧奨を受けて、自らの意思で退職することを意味する語。早期退職においては、退職金の割り増しなど、労働者にとって有利な条件が提示されるのが一般的である。企業などの人員整理の一環として行われ、業績悪化に伴って臨時的に行われることもある。早期優遇退職、希望退職などとも言う。,2019/08/10 19:06:56
aa-aa,アーリーリタイヤ,2019/08/10 17:11:59,そうきたいしょく,労働者が定年退職を待たずに、企業からの勧奨を受けて、自らの意思で退職することを意味する語。早期退職においては、退職金の割り増しなど、労働者にとって有利な条件が提示されるのが一般的である。企業などの人員整理の一環として行われ、業績悪化に伴って臨時的に行われることもある。早期優遇退職、希望退職などとも言う。,2019/08/10 19:11:57
aa-aa,アーロン収容所,2019/08/10 17:11:59,アーロンしゅうようじょ,第次世界大戦の時期に建てられた、ミャンマーのヤンゴンに所在する強制収容所の名称。,2019/08/10 19:16:56
aa-aa,アーロンしゅうようじょ,2019/08/10 17:11:59,アーロンしゅうようじょ,第次世界大戦の時期に建てられた、ミャンマーのヤンゴンに所在する強制収容所の名称。,2019/08/10 19:21:57
aa-aa,アー・ザ・ワールド,2019/08/10 17:11:59,アー・ザ・ワールド,英語の表現で、複数形の主語を置いて「（主語）が世界だ」と述べる表現。年代半ばに発表された曲のタイトルでもある「」は広く知られている。曲名としての「」は邦訳されず「ウィ・アー・ザ・ワールド」の邦題がつけられている。,2019/08/10 19:26:56
aa-ii,間4軒,2019/08/10 17:29:53,あいだよんけん,捨て牌から待ちを予想する方法のつ。ピンとピンのように、差がの同種の数牌が捨てられている場合、待ち牌は２ピンとピンであると予想すること。間四軒の「四」は、ここでは、ピンズの、、、の種類を指す。,2019/08/10 19:31:57
aa-ii,アイアンウッド,2019/08/10 17:29:53,アイアンウッド,鉄のように硬い木、または鉄のように重い木のこと。「鉄木」とも呼ばれる。アイアンウッドと呼ばれる木の種類はいくつかある。,2019/08/10 19:36:56
aa-ii,アイアンストマック,2019/08/10 17:29:53,てつのいぶくろ,健啖家の胃袋、または悪くなったものや刺激の強いものを食べても平然としている者の頑丈な胃袋を鉄に喩えて言う語。,2019/08/10 19:41:57
aa-ii,相容れる,2019/08/10 17:29:53,相容れる,互いに容認する、認め合う。もっぱら否定形の「相容れない」の形で用いる。「相」は相互作用の意味する語などにつき語調を整える表現。,2019/08/10 19:46:56
aa-ii,愛飲家,2019/08/10 17:29:53,あいいんか,飲み物を好んで飲む人。通常は「コーヒーの愛飲家」のように好む対象を示して用いられる。対象が明示されない場合は酒を指していることが多い。,2019/08/10 19:51:56
aa-ii,あいいんか,2019/08/10 17:29:53,あいいんか,飲み物を好んで飲む人。通常は「コーヒーの愛飲家」のように好む対象を示して用いられる。対象が明示されない場合は酒を指していることが多い。,2019/08/10 19:56:57
aa-ii,あいうえお作文,2019/08/10 17:29:53,あいうえおさくぶん,単語を構成する文字をそれぞれ頭文字に位置づけた一連の語群または文章を作ること。英語における頭字語（アクロニム）とは逆といえる手順で単語を展開していく言葉遊び。,2019/08/10 20:01:56
aa-ii,あいうえおさくぶん,2019/08/10 17:29:53,あいうえおさくぶん,単語を構成する文字をそれぞれ頭文字に位置づけた一連の語群または文章を作ること。英語における頭字語（アクロニム）とは逆といえる手順で単語を展開していく言葉遊び。,2019/08/10 20:06:57
aa-ii,相討ちに終わる,2019/08/10 17:29:53,,,
aa-ii,相撃ちに終わる,2019/08/10 17:29:53,,,
aa-ii,相打ちに終わる,2019/08/10 17:29:53,,,
aa-ii,あいうちにおわる,2019/08/10 17:29:53,,,
aa-ii,アイエスしがん,2019/08/10 17:29:53,,,
aa-ii,IS志願,2019/08/10 17:29:53,,,
aa-ii,アイエスビーエヌコード,2019/08/10 17:29:53,,,
aa-ii,ISBNコード,2019/08/10 17:29:53,,,
aa-ii,アイエフこう,2019/08/10 17:29:53,,,
aa-ii,IF鋼,2019/08/10 17:29:53,,,
aa-ii,哀艶,2019/08/10 17:29:53,,,
aa-ii,あいえん,2019/08/10 17:29:53,,,
aa-ii,愛多ければ憎しみ至る,2019/08/10 17:29:53,,,
aa-ii,あいおおければにくしみいたる,2019/08/10 17:29:53,,,
aa-ii,アイオーシーちゅうもん,2019/08/10 17:29:53,,,
aa-ii,IOC注文,2019/08/10 17:29:53,,,
aa-ii,合鍵,2019/08/10 17:29:53,,,
aa-ii,合い鍵,2019/08/10 17:29:53,,,
aa-ii,あいかぎ,2019/08/10 17:29:53,,,
aa-ii,アイカツおじさん,2019/08/10 17:29:53,,,
aa-ii,哀感が漂う,2019/08/10 17:29:53,,,
aa-ii,あいかんがただよう,2019/08/10 17:29:53,,,
aa-ii,哀感を込める,2019/08/10 17:29:53,,,
aa-ii,あいかんをこめる,2019/08/10 17:29:53,,,
aa-ii,愛がある,2019/08/10 17:29:53,,,
aa-ii,あいがある,2019/08/10 17:29:53,,,
aa-ii,あいがけ,2019/08/10 17:29:53,,,
aa-ii,愛がない,2019/08/10 17:29:53,,,
aa-ii,あいがない,2019/08/10 17:29:53,,,
aa-ii,合鴨農法,2019/08/10 17:29:53,,,
aa-ii,アイガモ農法,2019/08/10 17:29:53,,,
aa-ii,あいがも農法,2019/08/10 17:29:53,,,
aa-ii,あいがものうほう,2019/08/10 17:29:53,,,
aa-ii,愛玩用,2019/08/10 17:29:53,,,
aa-ii,あいがんよう,2019/08/10 17:29:53,,,
aa-ii,アイキャッチ,2019/08/10 17:29:53,,,
aa-ii,愛嬌毛,2019/08/10 17:29:53,,,
aa-ii,あいきょうげ,2019/08/10 17:29:53,,,
aa-ii,愛嬌を振りまく,2019/08/10 17:29:53,,,
aa-ii,愛嬌をふりまく,2019/08/10 17:29:53,,,
aa-ii,あいきょうをふりまく,2019/08/10 17:29:53,,,
aa-ii,アイクリーム,2019/08/10 17:29:53,,,
aa-ii,愛犬,2019/08/10 17:29:53,,,
aa-ii,あいけん,2019/08/10 17:29:53,,,
aa-ii,愛犬家,2019/08/10 17:29:53,,,
aa-ii,あいけんか,2019/08/10 17:29:53,,,
aa-ii,愛好者,2019/08/10 17:29:53,,,
aa-ii,あいこうしゃ,2019/08/10 17:29:53,,,
aa-ii,愛国主義,2019/08/10 17:29:53,,,
aa-ii,あいこくしゅぎ,2019/08/10 17:29:53,,,
aa-ii,愛国主義者,2019/08/10 17:29:53,,,
aa-ii,あいこくしゅぎしゃ,2019/08/10 17:29:53,,,
aa-ii,愛国心,2019/08/10 17:29:53,,,
aa-ii,あいこくしん,2019/08/10 17:29:53,,,
aa-ii,愛国ソング,2019/08/10 17:29:53,,,
aa-ii,あいこくソング,2019/08/10 17:29:53,,,
aa-ii,愛国無罪,2019/08/10 17:29:53,,,
aa-ii,あいこくむざい,2019/08/10 17:29:53,,,
aa-ii,相小手面,2019/08/10 17:29:53,,,
aa-ii,あいごてめん,2019/08/10 17:29:53,,,
aa-ii,愛妻弁当,2019/08/10 17:29:53,,,
aa-ii,あいさいべんとう,2019/08/10 17:29:53,,,
aa-ii,挨拶文,2019/08/10 17:29:53,,,
aa-ii,あいさつ文,2019/08/10 17:29:53,,,
aa-ii,あいさつぶん,2019/08/10 17:29:53,,,
aa-ii,合明,2019/08/10 17:29:53,,,
aa-ii,合明です,2019/08/10 17:29:53,,,
aa-ii,愛され,2019/08/10 17:29:53,,,
aa-ii,愛され顔,2019/08/10 17:29:53,,,
aa-ii,あいされがお,2019/08/10 17:29:53,,,
aa-ii,愛されキャラ,2019/08/10 17:29:53,,,
aa-ii,あいされキャラ,2019/08/10 17:29:53,,,
aa-ii,愛され系,2019/08/10 17:29:53,,,
aa-ii,あいされけい,2019/08/10 17:29:53,,,
aa-ii,愛盛り,2019/08/10 17:29:53,,,
aa-ii,愛ざかり,2019/08/10 17:29:53,,,
aa-ii,あいざかり,2019/08/10 17:29:53,,,
aa-ii,愛し合う,2019/08/10 17:29:53,,,
aa-ii,あいしあう,2019/08/10 17:29:53,,,
aa-ii,アイシス,2019/08/10 17:29:53,,,
aa-ii,哀愁を帯びる,2019/08/10 17:29:53,,,
aa-ii,あいしゅうをおびる,2019/08/10 17:29:53,,,
aa-ii,愛唱,2019/08/10 17:29:53,,,
aa-ii,あいしょう,2019/08/10 17:29:53,,,
aa-ii,相性占い,2019/08/10 17:29:53,,,
aa-ii,あいしょううらない,2019/08/10 17:29:53,,,
aa-uu,アウェイ,2019/08/10 17:38:01,,,
aa-uu,アウェイ感,2019/08/10 17:38:01,,,
aa-uu,アウェイの洗礼,2019/08/10 17:38:01,,,
aa-uu,アウェー,2019/08/10 17:38:01,,,
aa-uu,アウェー感,2019/08/10 17:38:01,,,
aa-uu,アウェーかん,2019/08/10 17:38:01,,,
aa-uu,アウェークニング,2019/08/10 17:38:01,,,
aa-uu,アウェーゴール,2019/08/10 17:38:01,,,
aa-uu,アウェーの洗礼,2019/08/10 17:38:01,,,
aa-uu,アウェーのせんれい,2019/08/10 17:38:01,,,
aa-uu,アウターブル,2019/08/10 17:38:01,,,
aa-uu,アウトインアウト,2019/08/10 17:38:01,,,
aa-uu,アウトオブポジション,2019/08/10 17:38:01,,,
aa-uu,アウトコール,2019/08/10 17:38:01,,,
aa-uu,アウトサイドスカート,2019/08/10 17:38:01,,,
aa-uu,アウトサイドヒッター,2019/08/10 17:38:01,,,
aa-uu,アウトサイドブレイク,2019/08/10 17:38:01,,,
aa-uu,アウトサイドポジション,2019/08/10 17:38:01,,,
aa-uu,アウトステップ,2019/08/10 17:38:01,,,
aa-uu,アウトスパット,2019/08/10 17:38:01,,,
aa-uu,アウトソーイング,2019/08/10 17:38:01,,,
aa-uu,アウトソース,2019/08/10 17:38:01,,,
aa-uu,アウトバス,2019/08/10 17:38:01,,,
aa-uu,アウトブル,2019/08/10 17:38:01,,,
aa-uu,アウトボード,2019/08/10 17:38:01,,,
aa-uu,アウトポイント,2019/08/10 17:38:01,,,
aa-uu,アウトライヤー比率,2019/08/10 17:38:01,,,
aa-uu,アウトライヤーひりつ,2019/08/10 17:38:01,,,
aa-uu,アウトリガー,2019/08/10 17:38:01,,,
aa-uu,アウトワードルッキング,2019/08/10 17:38:01,,,
aa-uu,アウフフーベン,2019/08/10 17:38:01,,,
aa-uu,アヴァン「avant」「avant-title」,2019/08/10 17:38:01,,,
aa-uu,アヴァンタイトル,2019/08/10 17:38:01,,,
aa-uu,アヴェスター,2019/08/10 17:38:01,,,
aa-ee,喘ぎ喘ぎ,2019/08/10 17:59:53,,,
aa-ee,あえぎあえぎ,2019/08/10 17:59:53,,,
aa-ee,あえぎ声,2019/08/10 17:59:53,,,
aa-ee,喘ぎ声,2019/08/10 17:59:53,,,
aa-ee,あえぎごえ,2019/08/10 17:59:53,,,
aa-ee,和え衣,2019/08/10 17:59:53,,,
aa-ee,あえごろも,2019/08/10 17:59:53,,,
aa-ee,敢え無く,2019/08/10 17:59:53,,,
aa-ee,あえなく,2019/08/10 17:59:53,,,
aa-ee,あえなく断念,2019/08/10 17:59:53,,,
aa-ee,あえなくだんねん,2019/08/10 17:59:53,,,
aa-ee,亜鉛版,2019/08/10 17:59:53,,,
aa-ee,あえんばん,2019/08/10 17:59:53,,,
aa-ee,亜鉛メッキ鋼,2019/08/10 17:59:53,,,
aa-ee,亜鉛めっき鋼,2019/08/10 17:59:53,,,
aa-ee,あえんめっきこう,2019/08/10 17:59:53,,,
aa-oo,蒼,2019/08/10 18:29:53,,,
aa-oo,あお,2019/08/10 18:29:53,,,
aa-oo,あおあらし,2019/08/10 18:29:53,,,
aa-oo,青息,2019/08/10 18:29:53,,,
aa-oo,あおいき,2019/08/10 18:29:53,,,
aa-oo,青い薔薇,2019/08/10 18:29:53,,,
aa-oo,青い鳥症候群,2019/08/10 18:29:53,,,
aa-oo,あおいとりしょうこうぐん,2019/08/10 18:29:53,,,
aa-oo,青いバラ,2019/08/10 18:29:53,,,
aa-oo,あおいバラ,2019/08/10 18:29:53,,,
aa-oo,青い百合,2019/08/10 18:29:53,,,
aa-oo,青いユリ,2019/08/10 18:29:53,,,
aa-oo,あおいユリ,2019/08/10 18:29:53,,,
aa-oo,青色光,2019/08/10 18:29:53,,,
aa-oo,あおいろこう,2019/08/10 18:29:53,,,
aa-oo,青色吐息,2019/08/10 18:29:53,,,
aa-oo,白馬に乗った王子様,2019/08/10 18:29:53,,,
aa-oo,青エク,2019/08/10 18:29:53,,,
aa-oo,あおエク,2019/08/10 18:29:53,,,
aa-oo,青鬼,2019/08/10 18:29:53,,,
aa-oo,あおおに,2019/08/10 18:29:53,,,
aa-oo,青木まりこ現象,2019/08/10 18:29:53,,,
aa-oo,あおきまりこげんしょう,2019/08/10 18:29:53,,,
aa-oo,青褪める,2019/08/10 18:29:53,,,
aa-oo,青ざめる,2019/08/10 18:29:53,,,
aa-oo,あおざめる,2019/08/10 18:29:53,,,
aa-oo,青島コート,2019/08/10 18:29:53,,,
aa-oo,青紫蘇,2019/08/10 18:29:53,,,
